Started at 2014-07-31 18:03:04

Ignored: Blackadder, stored: 1s, 5c. Got 1s, 5c.
Ignored: Blackout, stored: 1s, 3c. Got 1s, 3c.
Ignored: Blackout (2013), stored: 1s, 1c. Got 1s, 1c.
Ignored: Blandings, stored: 1s, 1c. Got 1s, 1c.
Ignored: Blue Bloods, stored: 4s, 89c. Got 4s, 89c.
Ignored: Blue Mountain State, stored: 3s, 38c. Got 3s, 38c.
Ignored: Bluestone 42, stored: 2s, 10c. Got 2s, 10c.
Ignored: Boardwalk Empire, stored: 4s, 48c. Got 4s, 48c.
Ignored: Bob Servant Independent, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bob's Burgers, stored: 4s, 67c. Got 4s, 67c.
Ignored: Body of Proof, stored: 3s, 42c. Got 3s, 42c.
Ignored: Bomb Girls, stored: 2s, 18c. Got 2s, 18c.
Ignored: Bones, stored: 9s, 168c. Got 9s, 168c.
Ignored: Bonnie and Clyde (2013), stored: 1s, 2c. Got 1s, 2c.
Ignored: Borealis, stored: 1s, 1c. Got 1s, 1c.
Ignored: Bored to Death, stored: 3s, 24c. Got 3s, 24c.
Ignored: Borgen, stored: 2s, 18c. Got 2s, 18c.
Ignored: Borgia, stored: 1s, 1c. Got 1s, 1c.
Ignored: Boris, stored: 2s, 28c. Got 2s, 28c.
Ignored: Bosch, stored: 1s, 1c. Got 1s, 1c.
Ignored: Boss, stored: 2s, 18c. Got 2s, 18c.
Ignored: Boston Finest, stored: 1s, 1c. Got 1s, 1c.
Ignored: Boston Legal, stored: 1s, 12c. Got 1s, 12c.
Ignored: Boston Med, stored: 1s, 8c. Got 1s, 8c.
Ignored: Bouquet of Barbed Wire, stored: 1s, 1c. Got 1s, 1c.
Ignored: Boy Meets Girl, stored: 1s, 4c. Got 1s, 4c.
Ignored: Braquo, stored: 2s, 16c. Got 2s, 16c.
Ignored: Breaking Bad, stored: 5s, 62c. Got 5s, 62c.
Ignored: Breaking Bad Minisodes, stored: 1s, 5c. Got 1s, 5c.
Ignored: Breaking In, stored: 2s, 14c. Got 2s, 14c.
Ignored: Breakout Kings, stored: 2s, 22c. Got 2s, 22c.
Ignored: Breathless, stored: 1s, 6c. Got 1s, 6c.
Ignored: Brickleberry, stored: 2s, 20c. Got 2s, 20c.
Ignored: Brimstone, stored: 1s, 1c. Got 1s, 1c.
Ignored: Britannia High, stored: 1s, 3c. Got 1s, 3c.
Ignored: Broad City, stored: 1s, 10c. Got 1s, 10c.
Ignored: Broadchurch, stored: 1s, 8c. Got 1s, 8c.
Ignored: Bron/Broen (The Bridge, 2011), stored: 2s, 20c. Got 2s, 20c.
Ignored: Brooklyn Nine Nine, stored: 1s, 22c. Got 1s, 22c.
Ignored: Brotherhood, stored: 3s, 29c. Got 3s, 29c.
Ignored: Brothers and Sisters, stored: 4s, 71c. Got 4s, 71c.
Ignored: Buffy the Vampire Slayer, stored: 1s, 2c. Got 1s, 2c.
Ignored: Bullet in the Face, stored: 1s, 6c. Got 1s, 6c.
Ignored: Bunheads, stored: 1s, 18c. Got 1s, 18c.
Ignored: Burn Notice, stored: 6s, 98c. Got 6s, 98c.
Ignored: By Any Means, stored: 1s, 6c. Got 1s, 6c.
Ignored: Californication, stored: 7s, 83c. Got 7s, 83c.
Ignored: Call me Fitz, stored: 3s, 31c. Got 3s, 31c.
Ignored: Call The Midwife, stored: 3s, 24c. Got 3s, 24c.
Ignored: Camelot, stored: 1s, 10c. Got 1s, 10c.
Ignored: Camp, stored: 1s, 10c. Got 1s, 10c.
Ignored: Campus, stored: 1s, 2c. Got 1s, 2c.
Ignored: Candy Cabs, stored: 1s, 2c. Got 1s, 2c.
Ignored: Canterbury's Law, stored: 1s, 3c. Got 1s, 3c.
Ignored: Caprica, stored: 1s, 19c. Got 1s, 19c.
Ignored: Cardinal Burns, stored: 1s, 3c. Got 1s, 3c.
Ignored: Carlos, stored: 1s, 3c. Got 1s, 3c.
Ignored: Carnivale, stored: 1s, 12c. Got 1s, 12c.
Ignored: Case Histories , stored: 2s, 9c. Got 2s, 9c.
Ignored: Case Sensitive, stored: 2s, 4c. Got 2s, 4c.
Ignored: Castle, stored: 6s, 128c. Got 6s, 128c.
Ignored: Cat Shit One, stored: 1s, 1c. Got 1s, 1c.
Ignored: Catherine Tateâ€™s Nan, stored: 1s, 1c. Got 1s, 1c.
Ignored: Cedar Cove, stored: 1s, 13c. Got 1s, 13c.
Ignored: Chaos, stored: 1s, 13c. Got 1s, 13c.
Ignored: Chappelle's Show, stored: 1s, 1c. Got 1s, 1c.
Ignored: Charlie's Angels, stored: 1s, 8c. Got 1s, 8c.
Ignored: Chase, stored: 1s, 18c. Got 1s, 18c.
Ignored: Chasing Life, stored: 1s, 8c. Got 1s, 8c.
Ignored: Cheers, stored: 1s, 3c. Got 1s, 3c.
Ignored: Chemistry, stored: 1s, 2c. Got 1s, 2c.
Ignored: Chicago Fire, stored: 2s, 46c. Got 2s, 46c.
Ignored: Chicago PD, stored: 1s, 15c. Got 1s, 15c.
